code_interne,categorie,secteur,libelle,source,code_source,frequences,unite,dimension_pays,par_defaut
C02.NY.GDP.MKTP.CD,C02,S01,"Produit intérieur brut, prix courants",Banque mondiale (WDI),NY.GDP.MKTP.CD,A,USD courants,1,0
C02.NY.GDP.MKTP.KD,C02,S01,"Produit intérieur brut, prix constants",Banque mondiale (WDI),NY.GDP.MKTP.KD,A,USD constants 2015,1,0
C02.NY.GDP.MKTP.KD.ZG,C02,S01,Taux de croissance du PIB réel,Banque mondiale (WDI),NY.GDP.MKTP.KD.ZG,A,%,1,1
C02.NGDP_RPCH,C02,S01,Taux de croissance du PIB réel (projections),FMI (WEO),NGDP_RPCH,A,%,1,0
C02.NGDP,C02,S01,PIB nominal en devise nationale,FMI (WEO),NGDP,A,Mds LCU,1,0
C02.NGDPD,C02,S01,PIB nominal en dollars,FMI (WEO),NGDPD,A,Mds USD,1,0
C02.NY.GDP.PCAP.CD,C02,S01,"PIB par habitant, prix courants",Banque mondiale (WDI),NY.GDP.PCAP.CD,A,USD courants,1,0
C02.NY.GDP.PCAP.KD,C02,S01,"PIB par habitant, prix constants",Banque mondiale (WDI),NY.GDP.PCAP.KD,A,USD constants 2015,1,0
C02.NY.GDP.PCAP.KD.ZG,C02,S01,Croissance du PIB par habitant,Banque mondiale (WDI),NY.GDP.PCAP.KD.ZG,A,%,1,0
C02.NY.GDP.PCAP.PP.CD,C02,S01,PIB par habitant en PPA,Banque mondiale (WDI),NY.GDP.PCAP.PP.CD,A,USD PPA,1,0
C02.PPPGDP,C02,S01,PIB total en PPA,FMI (WEO),PPPGDP,A,Mds USD PPA,1,0
C02.PPPSH,C02,S01,Part du pays dans le PIB mondial (PPA),FMI (WEO),PPPSH,A,%,1,0
C02.NY.GNP.PCAP.CD,C02,S01,Revenu national brut par habitant (méthode Atlas),Banque mondiale (WDI),NY.GNP.PCAP.CD,A,USD courants,1,0
C02.NY.GDP.DEFL.KD.ZG,C02,S01,"Déflateur du PIB, variation annuelle",Banque mondiale (WDI),NY.GDP.DEFL.KD.ZG,A,%,1,0
C02.NV.AGR.TOTL.ZS,C02,S01,Valeur ajoutée de l'agriculture,Banque mondiale (WDI),NV.AGR.TOTL.ZS,A,% du PIB,1,0
C02.NV.IND.TOTL.ZS,C02,S01,Valeur ajoutée de l'industrie,Banque mondiale (WDI),NV.IND.TOTL.ZS,A,% du PIB,1,0
C02.NV.IND.MANF.ZS,C02,S01,Valeur ajoutée de l'industrie manufacturière,Banque mondiale (WDI),NV.IND.MANF.ZS,A,% du PIB,1,0
C02.NV.SRV.TOTL.ZS,C02,S01,Valeur ajoutée des services,Banque mondiale (WDI),NV.SRV.TOTL.ZS,A,% du PIB,1,0
C02.NE.CON.PRVT.ZS,C02,S01,Consommation finale des ménages,Banque mondiale (WDI),NE.CON.PRVT.ZS,A,% du PIB,1,0
C02.NE.CON.GOVT.ZS,C02,S01,Consommation finale des administrations publiques,Banque mondiale (WDI),NE.CON.GOVT.ZS,A,% du PIB,1,0
C02.NE.GDI.TOTL.ZS,C02,S01,Formation brute de capital,Banque mondiale (WDI),NE.GDI.TOTL.ZS,A,% du PIB,1,0
C02.NE.GDI.FTOT.ZS,C02,S01,Formation brute de capital fixe,Banque mondiale (WDI),NE.GDI.FTOT.ZS,A,% du PIB,1,0
C02.NE.EXP.GNFS.ZS,C02,S01,Exportations de biens et services,Banque mondiale (WDI),NE.EXP.GNFS.ZS,A,% du PIB,1,0
C02.NE.IMP.GNFS.ZS,C02,S01,Importations de biens et services,Banque mondiale (WDI),NE.IMP.GNFS.ZS,A,% du PIB,1,0
C02.NY.GNS.ICTR.ZS,C02,S01,Épargne intérieure brute,Banque mondiale (WDI),NY.GNS.ICTR.ZS,A,% du PIB,1,0
C02.NID_NGDP,C02,S01,Investissement total,FMI (WEO),NID_NGDP,A,% du PIB,1,0
C02.NGSD_NGDP,C02,S01,Épargne nationale brute,FMI (WEO),NGSD_NGDP,A,% du PIB,1,0
C02.DSD_NAMAIN1_DF_QNA,C02,S01,PIB trimestriel en volume,OCDE (SDMX),DSD_NAMAIN1@DF_QNA,T,Indice / volume,1,0
C02.DSD_STES_DF_CLI,C02,S01,Indicateur composite avancé (CLI),OCDE (SDMX),DSD_STES@DF_CLI,M,Indice,1,0
C02.DSD_STES_DF_INDSERV___AIP_IX,C02,S01,Indice de production industrielle,OCDE / FMI (IFS),DSD_STES@DF_INDSERV,M,Indice,1,0
C08.FP.CPI.TOTL,C08,S02,Indice des prix à la consommation,Banque mondiale (WDI),FP.CPI.TOTL,A,Indice 2010 = 100,1,0
C08.FP.CPI.TOTL.ZG,C08,S02,"Inflation, prix à la consommation",Banque mondiale (WDI),FP.CPI.TOTL.ZG,A,% annuel,1,1
C08.PCPIPCH,C08,S02,Inflation moyenne annuelle (projections),FMI (WEO),PCPIPCH,A,%,1,0
C08.PCPIEPCH,C08,S02,Inflation en fin de période,FMI (WEO),PCPIEPCH,A,%,1,0
C08.PCPI_IX,C08,S02,"Indice des prix à la consommation, ensemble",FMI (base CPI),PCPI_IX,M,Indice,1,0
C08.PCPIF_IX,C08,S02,"Indice des prix à la consommation, alimentation",FMI (base CPI),PCPIF_IX,M,Indice,1,0
C08.DSD_PRICES_DF_PRICES_ALL,C08,S02,Inflation sous-jacente,OCDE (SDMX),DSD_PRICES@DF_PRICES_ALL,M,% annuel,1,0
C08.PPPI_IX,C08,S02,Indice des prix à la production,FMI (IFS),PPPI_IX,M,Indice,1,0
C08.NY.GDP.DEFL.ZS,C08,S02,Déflateur du PIB,Banque mondiale (WDI),NY.GDP.DEFL.ZS,A,Indice,1,0
C06.PA.NUS.FCRF,C06,S02,Taux de change officiel (moyenne période),Banque mondiale (WDI),PA.NUS.FCRF,A,LCU / USD,1,1
C06.ENDE_XDC_USD_RATE,C06,S02,"Taux de change de marché, fin de période",FMI (IFS),ENDE_XDC_USD_RATE,M,LCU / USD,1,0
C06.PX.REX.REER,C06,S02,Taux de change effectif réel,Banque mondiale (WDI),PX.REX.REER,A,Indice 2010 = 100,1,0
C06.ENEER_IX,C06,S02,Taux de change effectif nominal,FMI (IFS),ENEER_IX,M,Indice,1,0
C06.PA.NUS.PPP,C06,S02,Facteur de conversion PPA,Banque mondiale (WDI),PA.NUS.PPP,A,LCU / USD int.,1,0
C03.GGR_NGDP,C03,S03,Recettes totales des administrations publiques,FMI (Fiscal Monitor),GGR_NGDP,A,% du PIB,1,0
C03.GGX_NGDP,C03,S03,Dépenses totales des administrations publiques,FMI (Fiscal Monitor),GGX_NGDP,A,% du PIB,1,0
C03.GGXCNL_NGDP,C03,S03,Solde budgétaire global,FMI (Fiscal Monitor),GGXCNL_NGDP,A,% du PIB,1,1
C03.GGXONLB_NGDP,C03,S03,Solde budgétaire primaire,FMI (Fiscal Monitor),GGXONLB_NGDP,A,% du PIB,1,0
C03.GGSB_NPGDP,C03,S03,Solde structurel,FMI (Fiscal Monitor),GGSB_NPGDP,A,% du PIB pot.,1,0
C03.GC.REV.XGRT.GD.ZS,C03,S03,Recettes hors dons (administration centrale),Banque mondiale (WDI),GC.REV.XGRT.GD.ZS,A,% du PIB,1,0
C03.GC.TAX.TOTL.GD.ZS,C03,S03,Recettes fiscales,Banque mondiale (WDI),GC.TAX.TOTL.GD.ZS,A,% du PIB,1,0
C03.GC.TAX.YPKG.RV.ZS,C03,S03,Impôts sur les revenus et bénéfices,Banque mondiale (WDI),GC.TAX.YPKG.RV.ZS,A,% des recettes,1,0
C03.GC.TAX.GSRV.RV.ZS,C03,S03,Taxes sur les biens et services,Banque mondiale (WDI),GC.TAX.GSRV.RV.ZS,A,% des recettes,1,0
C03.GC.TAX.INTT.RV.ZS,C03,S03,Taxes sur le commerce international,Banque mondiale (WDI),GC.TAX.INTT.RV.ZS,A,% des recettes,1,0
C03.GC.XPN.TOTL.GD.ZS,C03,S03,Dépenses totales (administration centrale),Banque mondiale (WDI),GC.XPN.TOTL.GD.ZS,A,% du PIB,1,0
C03.GC.XPN.COMP.ZS,C03,S03,Masse salariale publique,Banque mondiale (WDI),GC.XPN.COMP.ZS,A,% des dépenses,1,0
C03.GC.XPN.INTP.RV.ZS,C03,S03,Charges d'intérêt,Banque mondiale (WDI),GC.XPN.INTP.RV.ZS,A,% des recettes,1,0
C03.GC.XPN.TRFT.ZS,C03,S03,Subventions et transferts,Banque mondiale (WDI),GC.XPN.TRFT.ZS,A,% des dépenses,1,0
C03.GC.NLD.TOTL.GD.ZS,C03,S03,Capacité ou besoin de financement,Banque mondiale (WDI),GC.NLD.TOTL.GD.ZS,A,% du PIB,1,0
C03.MS.MIL.XPND.GD.ZS,C03,S03,Dépenses militaires,Banque mondiale (WDI),MS.MIL.XPND.GD.ZS,A,% du PIB,1,0
C03.GFSCOFOG,C03,S03,Recettes et dépenses détaillées (COFOG),FMI (GFS),GFSCOFOG,A,% du PIB,1,0
C03.DSD_REV_COMP_DF_RSGBL,C03,S03,Pression fiscale globale,OCDE (Revenue Statistics),DSD_REV_COMP@DF_RSGBL,A,% du PIB,1,0
C09.GGXWDG_NGDP,C09,S04,Dette brute des administrations publiques,FMI (Fiscal Monitor),GGXWDG_NGDP,A,% du PIB,1,1
C09.GGXWDN_NGDP,C09,S04,Dette nette des administrations publiques,FMI (Fiscal Monitor),GGXWDN_NGDP,A,% du PIB,1,0
C09.GC.DOD.TOTL.GD.ZS,C09,S04,Dette de l'administration centrale,Banque mondiale (WDI),GC.DOD.TOTL.GD.ZS,A,% du PIB,1,0
C09.DT.DOD.DECT.CD,C09,S04,Stock de dette extérieure totale,Banque mondiale (IDS),DT.DOD.DECT.CD,A,USD courants,1,0
C09.DT.DOD.DECT.GN.ZS,C09,S04,Dette extérieure totale,Banque mondiale (IDS),DT.DOD.DECT.GN.ZS,A,% du RNB,1,0
C09.DT.DOD.DPPG.CD,C09,S04,Dette publique et publiquement garantie,Banque mondiale (IDS),DT.DOD.DPPG.CD,A,USD courants,1,0
C09.DT.DOD.DSTC.CD,C09,S04,Dette extérieure à court terme,Banque mondiale (IDS),DT.DOD.DSTC.CD,A,USD courants,1,0
C09.DT.TDS.DECT.EX.ZS,C09,S04,Service de la dette extérieure,Banque mondiale (IDS),DT.TDS.DECT.EX.ZS,A,% des exportations,1,0
C09.DT.TDS.DPPG.GN.ZS,C09,S04,Service de la dette publique,Banque mondiale (IDS),DT.TDS.DPPG.GN.ZS,A,% du RNB,1,0
C09.DT.DOD.DSTC.IR.ZS,C09,S04,Dette à court terme rapportée aux réserves,Banque mondiale (IDS),DT.DOD.DSTC.IR.ZS,A,% des réserves,1,0
C09.DT.DIS.DPPG.CD,C09,S04,Décaissements de nouveaux prêts,Banque mondiale (IDS),DT.DIS.DPPG.CD,A,USD courants,1,0
C09.DT.NTR.DECT.CD,C09,S04,Transferts nets sur dette,Banque mondiale (IDS),DT.NTR.DECT.CD,A,USD courants,1,0
C09.DT.INR.DPPG,C09,S04,Taux d'intérêt moyen des nouveaux engagements,Banque mondiale (IDS),DT.INR.DPPG,A,%,1,0
C09.DT.MAT.DPPG,C09,S04,Maturité moyenne des nouveaux engagements,Banque mondiale (IDS),DT.MAT.DPPG,A,Années,1,0
C09.DT.GRE.DPPG,C09,S04,Élément don moyen des nouveaux engagements,Banque mondiale (IDS),DT.GRE.DPPG,A,%,1,0
C04.FM.LBL.BMNY.GD.ZS,C04,S05,Masse monétaire au sens large,Banque mondiale (WDI),FM.LBL.BMNY.GD.ZS,A,% du PIB,1,0
C04.FM.LBL.BMNY.ZG,C04,S05,Croissance de la masse monétaire,Banque mondiale (WDI),FM.LBL.BMNY.ZG,A,% annuel,1,0
C04.FMB_XDC,C04,S05,Monnaie et quasi-monnaie,FMI (IFS),FMB_XDC,M,Mds LCU,1,0
C04.FS.AST.PRVT.GD.ZS,C04,S05,Crédit intérieur au secteur privé,Banque mondiale (WDI),FS.AST.PRVT.GD.ZS,A,% du PIB,1,1
C04.FD.AST.PRVT.GD.ZS,C04,S05,Crédit bancaire au secteur privé,Banque mondiale (WDI),FD.AST.PRVT.GD.ZS,A,% du PIB,1,0
C04.FS.AST.DOMS.GD.ZS,C04,S05,Crédit intérieur net à l'État,Banque mondiale (WDI),FS.AST.DOMS.GD.ZS,A,% du PIB,1,0
C07.FR.INR.LEND,C07,S05,Taux d'intérêt débiteur,Banque mondiale (WDI),FR.INR.LEND,A,%,1,1
C07.FR.INR.DPST,C07,S05,Taux d'intérêt créditeur,Banque mondiale (WDI),FR.INR.DPST,A,%,1,0
C07.FR.INR.RINR,C07,S05,Taux d'intérêt réel,Banque mondiale (WDI),FR.INR.RINR,A,%,1,0
C07.FR.INR.LNDP,C07,S05,Marge d'intermédiation bancaire,Banque mondiale (WDI),FR.INR.LNDP,A,Points de %,1,0
C07.FPOLM_PA,C07,S05,Taux directeur de la banque centrale,FMI (IFS),FPOLM_PA,M,%,1,0
C04.FB.BNK.CAPA.ZS,C04,S05,Ratio de fonds propres sur actifs,Banque mondiale (WDI),FB.BNK.CAPA.ZS,A,%,1,0
C04.FB.AST.NPER.ZS,C04,S05,Prêts non performants,Banque mondiale (WDI),FB.AST.NPER.ZS,A,% des prêts bruts,1,0
C04.FSKRC_PT,C04,S05,Ratio de solvabilité réglementaire,FMI (FSI),FSKRC_PT,T,%,1,0
C04.FSKRA_PT,C04,S05,Rendement des actifs bancaires,FMI (FSI),FSKRA_PT,T,%,1,0
C04.CM.MKT.LCAP.GD.ZS,C04,S05,Capitalisation boursière,Banque mondiale (WDI),CM.MKT.LCAP.GD.ZS,A,% du PIB,1,0
C04.FX.OWN.TOTL.ZS,C04,S05,Comptes bancaires détenus (15 ans et plus),Banque mondiale (Findex),FX.OWN.TOTL.ZS,A,% de la population,1,0
C04.FB.CBK.BRCH.P5,C04,S05,Agences bancaires pour 100 000 adultes,Banque mondiale (WDI),FB.CBK.BRCH.P5,A,Pour 100 000,1,0
C05.BN.CAB.XOKA.GD.ZS,C05,S06,Solde du compte courant,Banque mondiale (WDI),BN.CAB.XOKA.GD.ZS,A,% du PIB,1,1
C05.BN.CAB.XOKA.CD,C05,S06,Solde du compte courant en valeur,Banque mondiale (WDI),BN.CAB.XOKA.CD,A,USD courants,1,0
C05.BCA_NGDPD,C05,S06,Solde du compte courant (projections),FMI (WEO),BCA_NGDPD,A,% du PIB,1,0
C05.BX.GSR.GNFS.CD,C05,S06,Exportations de biens et services,Banque mondiale (WDI),BX.GSR.GNFS.CD,A,USD courants,1,0
C05.BM.GSR.GNFS.CD,C05,S06,Importations de biens et services,Banque mondiale (WDI),BM.GSR.GNFS.CD,A,USD courants,1,0
C05.TX.VAL.MRCH.CD.WT,C05,S06,Exportations de marchandises,Banque mondiale (WDI),TX.VAL.MRCH.CD.WT,A,USD courants,1,0
C05.TM.VAL.MRCH.CD.WT,C05,S06,Importations de marchandises,Banque mondiale (WDI),TM.VAL.MRCH.CD.WT,A,USD courants,1,0
C05.DOT,C05,S06,Commerce bilatéral de marchandises,FMI (DOTS),DOT,M,USD courants,1,0
C05.TT.PRI.MRCH.XD.WD,C05,S06,Termes de l'échange nets,Banque mondiale (WDI),TT.PRI.MRCH.XD.WD,A,Indice 2015 = 100,1,0
C05.NE.TRD.GNFS.ZS,C05,S06,Ouverture commerciale,Banque mondiale (WDI),NE.TRD.GNFS.ZS,A,% du PIB,1,0
C05.BX.KLT.DINV.WD.GD.ZS,C05,S06,"Investissements directs étrangers, entrées nettes",Banque mondiale (WDI),BX.KLT.DINV.WD.GD.ZS,A,% du PIB,1,0
C05.BX.KLT.DINV.CD.WD,C05,S06,"Investissements directs étrangers, valeur",Banque mondiale (WDI),BX.KLT.DINV.CD.WD,A,USD courants,1,0
C05.BM.KLT.DINV.WD.GD.ZS,C05,S06,Investissements directs à l'étranger,Banque mondiale (WDI),BM.KLT.DINV.WD.GD.ZS,A,% du PIB,1,0
C05.BX.TRF.PWKR.CD.DT,C05,S06,Transferts des migrants reçus,Banque mondiale (WDI),BX.TRF.PWKR.CD.DT,A,USD courants,1,0
C05.BX.TRF.PWKR.DT.GD.ZS,C05,S06,Transferts des migrants reçus,Banque mondiale (WDI),BX.TRF.PWKR.DT.GD.ZS,A,% du PIB,1,0
C05.FI.RES.TOTL.CD,C05,S06,Réserves de change totales (or compris),Banque mondiale (WDI),FI.RES.TOTL.CD,A,USD courants,1,0
