mot,theme
dette,dette
endettement,dette
emprunt,dette
obligation,dette
titre,dette
debt,dette
borrowing,dette
bond,dette
arrears,dette
arriere,dette
croissance,croissance
pib,croissance
produit interieur brut,croissance
recession,croissance
conjoncture,croissance
growth,croissance
gdp,croissance
output,croissance
activite,croissance
budget,finances
budgetaire,finances
fiscal,finances
impot,finances
taxe,finances
recette,finances
depense,finances
deficit,finances
tresor,finances
fiscalite,finances
revenue,finances
expenditure,finances
tax,finances
monnaie,monnaie
monetaire,monnaie
credit,monnaie
banque,monnaie
inflation,monnaie
prix,monnaie
taux directeur,monnaie
masse monetaire,monnaie
money,monnaie
banking,monnaie
credit,monnaie
change,change
devise,change
taux de change,change
depreciation,change
appreciation,change
franc cfa,change
exchange rate,change
currency,change
commerce,commerce
export,commerce
import,commerce
balance,commerce
echange,commerce
douane,commerce
tarif,commerce
trade,commerce
exports,commerce
imports,commerce
customs,commerce
matiere premiere,matieres
cacao,matieres
cafe,matieres
coton,matieres
petrole,matieres
or,matieres
aluminium,matieres
bois,matieres
commodity,matieres
cocoa,matieres
coffee,matieres
cotton,matieres
oil,matieres
gold,matieres
timber,matieres
emploi,travail
chomage,travail
travail,travail
salaire,travail
informel,travail
main d oeuvre,travail
employment,travail
unemployment,travail
labour,travail
labor,travail
wage,travail
pauvrete,social
inegalite,social
sante,social
education,social
demographie,social
population,social
poverty,social
inequality,social
health,social
education,social
pauvrete,pauvrete
gini,pauvrete
inegalite,pauvrete
seuil,pauvrete
poverty,pauvrete
inequality,pauvrete
agriculture,agriculture
agricole,agriculture
alimentaire,agriculture
recolte,agriculture
rendement,agriculture
elevage,agriculture
farming,agriculture
food,agriculture
crop,agriculture
yield,agriculture
energie,energie
electricite,energie
petrole,energie
gaz,energie
renouvelable,energie
climat,energie
carbone,energie
energy,energie
electricity,energie
climate,energie
carbon,energie
gouvernance,gouvernance
corruption,gouvernance
institution,gouvernance
climat des affaires,gouvernance
reglementation,gouvernance
governance,gouvernance
corruption,gouvernance
business,gouvernance
