en,fr
World,Monde
Africa Eastern and Southern,Afrique de l'Est et australe
Africa Western and Central,Afrique de l'Ouest et centrale
Sub-Saharan Africa,Afrique subsaharienne
Sub-Saharan Africa (excluding high income),Afrique subsaharienne (hors revenu élevé)
Middle East & North Africa,Moyen-Orient et Afrique du Nord
Latin America & Caribbean,Amérique latine et Caraïbes
East Asia & Pacific,Asie de l'Est et Pacifique
South Asia,Asie du Sud
Europe & Central Asia,Europe et Asie centrale
North America,Amérique du Nord
European Union,Union européenne
Euro area,Zone euro
Arab World,Monde arabe
Central Europe and the Baltics,Europe centrale et pays baltes
Low income,Revenu faible
Lower middle income,"Revenu intermédiaire, tranche inférieure"
Upper middle income,"Revenu intermédiaire, tranche supérieure"
High income,Revenu élevé
Low & middle income,Revenu faible et intermédiaire
Middle income,Revenu intermédiaire
Least developed countries: UN classification,Pays les moins avancés (Nations unies)
Heavily indebted poor countries (HIPC),Pays pauvres très endettés
Fragile and conflict affected situations,Situations de fragilité et de conflit
Small states,Petits États
OECD members,Membres de l'OCDE
Pre-demographic dividend,Avant dividende démographique
Early-demographic dividend,Début de dividende démographique
Late-demographic dividend,Fin de dividende démographique
Post-demographic dividend,Après dividende démographique
IDA total,Total IDA
IDA only,IDA uniquement
IDA blend,IDA mixte
IDA & IBRD total,Total IDA et BIRD
IBRD only,BIRD uniquement
Not classified,Non classé
