iso3,iso2,langues
ABW,aw,"Néerlandais, papiamento"
AFG,af,"Pachto, dari"
AGO,ao,Portugais
ALB,al,Albanais
AND,ad,Catalan
ARE,ae,Arabe
ARG,ar,Espagnol
ARM,am,Arménien
ASM,as,"Anglais, samoan"
ATG,ag,Anglais
AUS,au,Anglais
AUT,at,Allemand
AZE,az,Azéri
BDI,bi,"Kirundi, français, anglais"
BEL,be,"Néerlandais, français, allemand"
BEN,bj,Français
BFA,bf,Français
BGD,bd,Bengali
BGR,bg,Bulgare
BHR,bh,Arabe
BHS,bs,Anglais
BIH,ba,"Bosnien, croate, serbe"
BLR,by,"Biélorusse, russe"
BLZ,bz,Anglais
BMU,bm,Anglais
BOL,bo,"Espagnol, quechua, aymara"
BRA,br,Portugais
BRB,bb,Anglais
BRN,bn,Malais
BTN,bt,Dzongkha
BWA,bw,"Anglais, tswana"
CAF,cf,"Français, sango"
CAN,ca,"Anglais, français"
CHE,ch,"Allemand, français, italien, romanche"
CHI,je,"Anglais, français"
CHL,cl,Espagnol
CHN,cn,Mandarin
CIV,ci,Français
CMR,cm,"Français, anglais"
COD,cd,Français
COG,cg,Français
COL,co,Espagnol
COM,km,"Comorien, français, arabe"
CPV,cv,Portugais
CRI,cr,Espagnol
CUB,cu,Espagnol
CUW,cw,"Néerlandais, papiamento"
CYM,ky,Anglais
CYP,cy,"Grec, turc"
CZE,cz,Tchèque
DEU,de,Allemand
DJI,dj,"Français, arabe"
DMA,dm,Anglais
DNK,dk,Danois
DOM,do,Espagnol
DZA,dz,"Arabe, berbère"
ECU,ec,Espagnol
EGY,eg,Arabe
ERI,er,"Tigrigna, arabe, anglais"
ESP,es,Espagnol
EST,ee,Estonien
ETH,et,Amharique
FIN,fi,"Finnois, suédois"
FJI,fj,"Anglais, fidjien, hindoustani"
FRA,fr,Français
FRO,fo,"Féroïen, danois"
FSM,fm,Anglais
GAB,ga,Français
GBR,gb,Anglais
GEO,ge,Géorgien
GHA,gh,Anglais
GIN,gn,Français
GMB,gm,Anglais
GNB,gw,Portugais
GNQ,gq,"Espagnol, français, portugais"
GRC,gr,Grec
GRD,gd,Anglais
GRL,gl,Groenlandais
GTM,gt,Espagnol
GUM,gu,"Anglais, chamorro"
GUY,gy,Anglais
HKG,hk,"Chinois, anglais"
HND,hn,Espagnol
HRV,hr,Croate
HTI,ht,"Français, créole haïtien"
HUN,hu,Hongrois
IDN,id,Indonésien
IMN,im,Anglais
IND,in,"Hindi, anglais"
IRL,ie,"Irlandais, anglais"
IRN,ir,Persan
IRQ,iq,"Arabe, kurde"
ISL,is,Islandais
ISR,il,Hébreu
ITA,it,Italien
JAM,jm,Anglais
JOR,jo,Arabe
JPN,jp,Japonais
KAZ,kz,"Kazakh, russe"
KEN,ke,"Swahili, anglais"
KGZ,kg,"Kirghize, russe"
KHM,kh,Khmer
KIR,ki,"Anglais, gilbertin"
KNA,kn,Anglais
KOR,kr,Coréen
KWT,kw,Arabe
LAO,la,Lao
LBN,lb,Arabe
LBR,lr,Anglais
LBY,ly,Arabe
LCA,lc,Anglais
LIE,li,Allemand
LKA,lk,"Cingalais, tamoul"
LSO,ls,"Sesotho, anglais"
LTU,lt,Lituanien
LUX,lu,"Luxembourgeois, français, allemand"
LVA,lv,Letton
MAC,mo,"Chinois, portugais"
MAF,mf,Français
MAR,ma,"Arabe, amazigh"
MCO,mc,Français
MDA,md,Roumain
MDG,mg,"Malgache, français"
MDV,mv,Divehi
MEX,mx,Espagnol
MHL,mh,"Marshallais, anglais"
MKD,mk,Macédonien
MLI,ml,Français
MLT,mt,"Maltais, anglais"
MMR,mm,Birman
MNE,me,Monténégrin
MNG,mn,Mongol
MNP,mp,"Anglais, chamorro"
MOZ,mz,Portugais
MRT,mr,Arabe
MUS,mu,"Anglais, français"
MWI,mw,"Chichewa, anglais"
MYS,my,Malais
NAM,na,Anglais
NCL,nc,Français
NER,ne,Français
NGA,ng,Anglais
NIC,ni,Espagnol
NLD,nl,Néerlandais
NOR,no,Norvégien
NPL,np,Népalais
NRU,nr,"Nauruan, anglais"
NZL,nz,"Anglais, maori"
OMN,om,Arabe
PAK,pk,"Ourdou, anglais"
PAN,pa,Espagnol
PER,pe,"Espagnol, quechua, aymara"
PHL,ph,"Filipino, anglais"
PLW,pw,"Palaosien, anglais"
PNG,pg,"Anglais, tok pisin, hiri motu"
POL,pl,Polonais
PRI,pr,"Espagnol, anglais"
PRK,kp,Coréen
PRT,pt,Portugais
PRY,py,"Espagnol, guarani"
PSE,ps,Arabe
PYF,pf,Français
QAT,qa,Arabe
ROU,ro,Roumain
RUS,ru,Russe
RWA,rw,"Kinyarwanda, français, anglais, swahili"
SAU,sa,Arabe
SDN,sd,"Arabe, anglais"
SEN,sn,Français
SGP,sg,"Anglais, malais, mandarin, tamoul"
SLB,sb,Anglais
SLE,sl,Anglais
SLV,sv,Espagnol
SMR,sm,Italien
SOM,so,"Somali, arabe"
SRB,rs,Serbe
SSD,ss,Anglais
STP,st,Portugais
SUR,sr,Néerlandais
SVK,sk,Slovaque
SVN,si,Slovène
SWE,se,Suédois
SWZ,sz,"Swati, anglais"
SXM,sx,"Néerlandais, anglais"
