annee,valeur,statut
2010,2.93,observe
2011,3.48,observe
2012,4.51,observe
2013,4.99,observe
2014,5.78,observe
2015,5.60,observe
2016,4.48,observe
2017,3.54,observe
2018,3.96,observe
2019,3.48,observe
2020,0.26,observe
2021,3.38,observe
2022,3.74,observe
2023,3.35,observe
2024,3.52,observe
2025,3.50,observe
2026,3.50,projection
2027,3.60,projection
2028,4.80,projection
2029,5.00,projection
2030,5.37,projection
2031,5.06,projection
2032,4.86,projection
2033,4.72,projection
2034,4.62,projection
2035,4.55,projection
