id,nom,organisme,url_accueil,url_recherche,themes,description
bm-donnees,"Banque mondiale, données",Banque mondiale,https://data.worldbank.org,https://data.worldbank.org/?qterm={q},dette|croissance|pauvrete|commerce|social|energie|gouvernance|travail|monnaie,"Séries statistiques par pays et par indicateur, avec graphiques et exports."
bm-documents,"Banque mondiale, documents et rapports",Banque mondiale,https://documents.worldbank.org,https://documents.worldbank.org/en/publication/documents-reports/all?qterm={q},dette|croissance|pauvrete|commerce|social|energie|gouvernance|travail,"Rapports pays, études sectorielles et documents de projet."
bm-blogs,"Banque mondiale, analyses",Banque mondiale,https://blogs.worldbank.org,https://blogs.worldbank.org/en/search?q={q},croissance|pauvrete|commerce|dette,Analyses courtes par les économistes de l'institution.
fmi-recherche,"FMI, recherche et publications",Fonds monétaire international,https://www.imf.org/en/Publications,https://www.imf.org/en/Search#q={q}&sort=relevancy,dette|croissance|monnaie|change|finances|commerce|matieres,"Rapports article IV, perspectives régionales, documents de travail."
fmi-elibrary,"FMI, bibliothèque numérique",Fonds monétaire international,https://www.elibrary.imf.org,https://www.elibrary.imf.org/search?q1={q},dette|croissance|monnaie|finances|change,"Ouvrages, périodiques et documents de travail en texte intégral."
fmi-donnees,"FMI, données",Fonds monétaire international,https://data.imf.org/en,https://data.imf.org/en/Search-Results?q={q},dette|monnaie|change|finances|commerce|matieres,Jeux de données et tableaux du Fonds.
ocde,OCDE,OCDE,https://www.oecd.org,https://www.oecd.org/en/search.html?q={q},croissance|travail|social|gouvernance|energie|commerce,"Études économiques, statistiques et recommandations de politique publique."
cnuced,CNUCED,Nations unies,https://unctad.org,https://unctad.org/search?keys={q},commerce|matieres|croissance,"Commerce international, investissement et développement."
oit,"OIT, ILOSTAT",Organisation internationale du travail,https://ilostat.ilo.org,https://ilostat.ilo.org/?s={q},travail|social,"Statistiques de l'emploi, du chômage et de l'informalité."
fao,FAO,Nations unies,https://www.fao.org,https://www.fao.org/search/fr/?q={q},agriculture|matieres|social,"Agriculture, sécurité alimentaire et prix des denrées."
bad,Banque africaine de développement,BAD,https://www.afdb.org/fr,https://www.afdb.org/fr/search?keyword={q},croissance|dette|energie|social|gouvernance,Perspectives économiques en Afrique et rapports pays.
beac,BEAC,Banque des États de l'Afrique centrale,https://www.beac.int,https://www.beac.int/?s={q},monnaie|change|finances|dette,"Politique monétaire, statistiques et bulletins de la CEMAC."
ins-cameroun,INS Cameroun,Institut national de la statistique,https://ins-cameroun.cm,https://ins-cameroun.cm/?s={q},croissance|social|travail|agriculture|commerce,"Statistiques officielles camerounaises, enquêtes et annuaires."
minfi,MINFI Cameroun,Ministère des Finances,https://www.minfi.gov.cm,https://www.minfi.gov.cm/?s={q},finances|dette,"Lois de finances, exécution budgétaire et dette publique."
minepat,MINEPAT,Ministère de l'Économie,https://www.minepat.gov.cm,https://www.minepat.gov.cm/?s={q},croissance|finances|social|gouvernance,"Planification, programmation et suivi des politiques économiques."
bis,Banque des règlements internationaux,BRI,https://www.bis.org,https://www.bis.org/search/?q={q},monnaie|change|finances,"Statistiques bancaires, taux de change et stabilité financière."
owid,Our World in Data,Université d'Oxford,https://ourworldindata.org,https://ourworldindata.org/search?q={q},croissance|social|energie|pauvrete|agriculture,"Séries longues et visualisations, avec sources documentées."
atlas,Atlas de la complexité économique,"Growth Lab, Harvard",https://atlas.hks.harvard.edu,https://atlas.hks.harvard.edu/countries,commerce|croissance,Structure des exportations et complexité économique.
nber,NBER,National Bureau of Economic Research,https://www.nber.org,https://www.nber.org/search?q={q},croissance|monnaie|travail|commerce,Documents de travail de la recherche académique.
scholar,Google Scholar,Google,https://scholar.google.com,https://scholar.google.com/scholar?q={q},croissance|dette|monnaie|travail|social|commerce|agriculture|energie|gouvernance|change|finances|pauvrete|matieres,"Littérature académique, toutes disciplines."
